File,Page No,Line No,Headline,Category,Block Headline,Item List Headline,Name,Parameter,Comment,Description,See Also,Source
KSP_Reference_Manual_Fixed.txt.py,59,2290,7. User Interface Widgets,ui_mouse_area,,,!NI_DND_ITEMS_AUDIO,,,A mouse area widget which can accept a single audio or NKA file. The on ui_control callback is triggered by a drop action. It has 3 built-in array.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,59,2291,7. User Interface Widgets,ui_mouse_area,,,!NI_DND_ITEMS_MIDI,,,A mouse area widget which can accept a single audio or NKA file. The on ui_control callback is triggered by a drop action. It has 3 built-in array.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,59,2292,7. User Interface Widgets,ui_mouse_area,,,!NI_DND_ITEMS_ARRAY,,,A mouse area widget which can accept a single audio or NKA file. The on ui_control callback is triggered by a drop action. It has 3 built-in array.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,66,2507,7. User Interface Widgets,ui_value_edit,,,$VALUE_EDIT_MODE_NOTE_NAMES,,,"declare ui_value_edit $<variable-name> (<min>, <max>, <$display-ratio>)
Creates a value edit field (number box) in the performance view.
<min>: The minimum value of the value edit.
<max>: The maximum value of the value edit.
<display-ratio>: The value is divided by <display-ratio> for display purposes. You can also use $VALUE_EDIT_MODE_NOTE_NAMES here to display note names instead of numbers.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,73,2729,9. General Commands,,,,$NI_LOG_MESSAGE,,,"disable_logging(<event-type>)
Disables emission of messages, warnings or watched variable events to both the Kontakt status bar and Creator Tools Debugger.
<event-type>: Which event type emission to deactivate. This is one of the available options.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,73,2730,9. General Commands,,,,$NI_LOG_WARNING,,,"disable_logging(<event-type>)
Disables emission of messages, warnings or watched variable events to both the Kontakt status bar and Creator Tools Debugger.
<event-type>: Which event type emission to deactivate. This is one of the available options.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,73,2731,9. General Commands,,,,$NI_LOG_WATCHING,,,"disable_logging(<event-type>)
Disables emission of messages, warnings or watched variable events to both the Kontakt status bar and Creator Tools Debugger.
<event-type>: Which event type emission to deactivate. This is one of the available options.",,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,94,3443,10. Event Commands,,,,$EVENT_PAR_REL_VELOCITY,,,Built-in parameters of a note event,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,99,3589,10. Event Commands,redirect_output(),,,$OUTPUT_TYPE_DEFAULT,,,The audio signal of the event is routed to the default instrument output.,,BUILT-IN
KSP_Reference_Manual_Fixed.txt.py,99,3591,10. Event Commands,redirect_output(),,,$OUTPUT_TYPE_MASTER_OUT,,,"The audio signal of the event is routed directly to the output channel specified with <index> (0 ... 63, depending on number of output channels defined in Kontakt). The audio signal will not be affected by any instrument effect.",,BUILT-IN
